Username,Owner,Followers(millions)[2],Primary Profession
@instagram,Instagram,586,Professional Organization
@cristiano,Cristiano Ronaldo,531,Athlete
@leomessi,Lionel Messi,417,Athlete
@kyliejenner,Kylie Jenner,377,Television Personality
@selenagomez,Selena Gomez,367,Musician
@therock,Dwayne Johnson,356,Acting
@arianagrande,Ariana Grande,347,Musician
@kimkardashian,Kim Kardashian,339,Television Personality
@beyonce,Beyoncé,289,Musician
@khloekardashian,Khloé Kardashian,287,Television Personality
@justinbieber,Justin Bieber,272,Musician
@kendalljenner,Kendall Jenner,268,Television Personality
@nike,Nike,261,Professional Organization
@natgeo,National Geographic,254,Professional Organization
@taylorswift,Taylor Swift,239,Acting
@virat.kohli,Virat Kohli,231,Athlete
@jlo,Jennifer Lopez,230,Acting
@kourtneykardash,Kourtney Kardashian,208,Television Personality
@nickiminaj,Nicki Minaj,207,Musician
@neymarjr,Neymar,200,Athlete
@mileycyrus,Miley Cyrus,192,Acting
@katyperry,Katy Perry,185,Musician
@zendaya,Zendaya,163,Acting
@kevinhart4real,Kevin Hart,162,Acting
@iamcardib,Cardi B,148,Acting
@ddlovato,Demi Lovato,146,Acting
@kingjames,LeBron James,141,Athlete
@badgalriri,Rihanna,139,Business
@realmadrid,Real Madrid CF,130,Professional Organization
@ellendegeneres,Ellen DeGeneres,129,Television Personality
@chrisbrownofficial,Chris Brown,128,Musician
@champagnepapi,Drake,128,Musician
@fcbarcelona,FC Barcelona,115,Professional Organization
@billieeilish,Billie Eilish,107,Musician
@championsleague,UEFA Champions League,101,Professional Organization
@k.mbappe,Kylian Mbappé,93.5,Athlete
@gal_gadot,Gal Gadot,93.3,Acting
@dualipa,Dua Lipa,87.6,Musician
@nasa,NASA,86.3,Professional Organization
@lalalalisa_m,Lisa,86.1,Musician
@vindiesel,Vin Diesel,85.5,Acting
@priyankachopra,Priyanka Chopra,84.3,Acting
@khaby00,Khaby Lame,80.1,Social Media Personality
@snoopdogg,Snoop Dogg,78.7,Musician
@shakira,Shakira,78.1,Musician
@shraddhakapoor,Shraddha Kapoor,77.1,Acting
@davidbeckham,David Beckham,76.8,Athlete
@gigihadid,Gigi Hadid,76.5,Model
@nba,NBA,74.3,Professional Organization
@aliaabhatt,Alia Bhatt,73.9,Acting
